event_id,deficiency_domain,deficiency_subtype,subtype_redacted,application_type,product_name,sponsor,office,regulatory_pathway,crl_date,year,disclosure_status__publicly_rele,application_number,data_limitation
CRL_305,CMC,Facility,0,NDA,Acetaminophen for Injection,Mylan Laboratores Ltd,Drug Evaluation 2,505(b)(2),6/6/2019,2019,Y,206610,0
CRL_305,Regulatory,Administrative/Filing,0,NDA,Acetaminophen for Injection,Mylan Laboratores Ltd,Drug Evaluation 2,505(b)(2),6/6/2019,2019,Y,206610,0
CRL_305,Patent Certifications,Patent,0,NDA,Acetaminophen for Injection,Mylan Laboratores Ltd,Drug Evaluation 2,505(b)(2),6/6/2019,2019,Y,206610,0
CRL_306,CMC,Facility,0,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),5/4/2016,2016,Y,206927,0
CRL_306,CMC,Manufacturing Controls,0,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),5/4/2016,2016,Y,206927,0
CRL_306,CMC,Biopharmaceutics,0,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),5/4/2016,2016,Y,206927,0
CRL_307,CMC,Redacted,1,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),12/17/2014,2014,Y,206927,0
CRL_307,CMC,Facility,0,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),12/17/2014,2014,Y,206927,0
CRL_307,CMC,Specifications,0,NDA,bortezomib for injection,"Dr. Reddy's Laboratory, Ltd.",Hematology & Oncology Products,505(b)(2),12/17/2014,2014,Y,206927,0
CRL_308,CMC,Facility,0,NDA,Xeglyze (abametapir) lotion,"Dr. Reddy's Laboratory, Ltd.",Drug Evaluation 3,505(b),8/30/2016,2016,Y,206966,0
CRL_309,Regulatory,Labeling,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Neuroscience,505(b)(2),12/22/2020,2020,Y,206968,0
CRL_309,Nonclinical,Toxicology,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Neuroscience,505(b)(2),12/22/2020,2020,Y,206968,0
CRL_309,CMC,Specifications,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Neuroscience,505(b)(2),12/22/2020,2020,Y,206968,0
CRL_309,CMC,Manufacturing Controls,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Neuroscience,505(b)(2),12/22/2020,2020,Y,206968,0
CRL_309,CMC,Stability,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Neuroscience,505(b)(2),12/22/2020,2020,Y,206968,0
CRL_310,Nonclinical,Impurity Qualification,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Drug Evaluation 2,505(b)(2),11/9/2018,2018,Y,206968,0
CRL_310,Patent Certifications,Patent,0,NDA,Acetaminophen Injection,InnoPharma Licensing LLC,Drug Evaluation 2,505(b)(2),11/9/2018,2018,Y,206968,0
