event_id,deficiency_domain,deficiency_subtype,subtype_redacted,application_type,product_name,sponsor,office,regulatory_pathway,crl_date,year,disclosure_status__publicly_rele,application_number,data_limitation
CRL_257,CMC,Facility,0,BLA,"sac ituzumab govitecan powder for soh1tion for infus ion, intravenous, 180 mg","Immunomedics, Inc",Hematology & Oncology Products,351(a),1/17/2019,2019,Y,761115,0
CRL_257,CMC,Manufacturing Controls,0,BLA,"sac ituzumab govitecan powder for soh1tion for infus ion, intravenous, 180 mg","Immunomedics, Inc",Hematology & Oncology Products,351(a),1/17/2019,2019,Y,761115,0
CRL_257,CMC,Specifications,0,BLA,"sac ituzumab govitecan powder for soh1tion for infus ion, intravenous, 180 mg","Immunomedics, Inc",Hematology & Oncology Products,351(a),1/17/2019,2019,Y,761115,0
CRL_257,CMC,Stability,0,BLA,"sac ituzumab govitecan powder for soh1tion for infus ion, intravenous, 180 mg","Immunomedics, Inc",Hematology & Oncology Products,351(a),1/17/2019,2019,Y,761115,0
CRL_258,CMC,Facility,0,BLA,TX01,"Tanvex BioPharma USA, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2/14/2023,2023,Y,761126,0
CRL_259,CMC,Facility,0,BLA,TX01,"Tanvex BioPharma USA, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(k),5/20/2021,2021,Y,761126,0
CRL_259,CMC,Specifications,0,BLA,TX01,"Tanvex BioPharma USA, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(k),5/20/2021,2021,Y,761126,0
CRL_260,CMC,Facility,0,BLA,TX01,"Tanvex BioPharma USA, Inc.",Hematology & Oncology Products,351(k),9/24/2019,2019,Y,761126,0
CRL_260,Nonclinical,Insufficient Nonclinical Support,0,BLA,TX01,"Tanvex BioPharma USA, Inc.",Hematology & Oncology Products,351(k),9/24/2019,2019,Y,761126,0
CRL_260,CMC,Manufacturing Controls,0,BLA,TX01,"Tanvex BioPharma USA, Inc.",Hematology & Oncology Products,351(k),9/24/2019,2019,Y,761126,0
CRL_260,CMC,Specifications,0,BLA,TX01,"Tanvex BioPharma USA, Inc.",Hematology & Oncology Products,351(k),9/24/2019,2019,Y,761126,0
CRL_261,CMC,Facility,0,BLA,daxibotulinumtoxinA for injection,"Revance Therapeutics, Inc.",Immunology and Inflammation,351(a),10/14/2021,2021,Y,761127,0
CRL_262,Clinical,Human Factors,0,BLA,MLN0002 SC,"Takeda Pharmaceuticals, U.S.A., Inc.",Drug Evaluation 3,351(a),12/17/2019,2019,Y,761133,0
CRL_262,Regulatory,Labeling,0,BLA,MLN0002 SC,"Takeda Pharmaceuticals, U.S.A., Inc.",Drug Evaluation 3,351(a),12/17/2019,2019,Y,761133,0
CRL_262,CMC,Redacted,1,BLA,MLN0002 SC,"Takeda Pharmaceuticals, U.S.A., Inc.",Drug Evaluation 3,351(a),12/17/2019,2019,Y,761133,0
CRL_263,CMC,Facility,0,BLA,SPI-2012,"Spectrum Pharmaceuticals, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),8/3/2021,2021,Y,761148,0
CRL_264,CMC,Facility,0,BLA,UCB4940 (CDP4940),"UCB, Inc",Immunology and Inflammation,351(a),5/12/2022,2022,Y,761151,0
CRL_265,CMC,Facility,0,BLA,PRX-102,Chiesi USA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",351(a),4/27/2021,2021,Y,761161,0
CRL_265,Regulatory,Labeling,0,BLA,PRX-102,Chiesi USA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",351(a),4/27/2021,2021,Y,761161,0
