event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_143,Clinical,NDA,Neuroscience,505(b)(2),2020
CRL_143,Nonclinical,NDA,Neuroscience,505(b)(2),2020
CRL_144,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2024
CRL_145,Clinical,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_146,CMC,NDA,Infectious Diseases,505(b)(2),2020
CRL_146,Nonclinical,NDA,Infectious Diseases,505(b)(2),2020
CRL_147,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_148,CMC,NDA,Immunology and Inflammation,505(b)(2),2021
CRL_149,CMC,NDA,Oncologic Diseases,505(b)(2),2020
CRL_150,CMC,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_151,CMC,NDA,Oncologic Diseases,505(b)(2),2023
CRL_152,CMC,NDA,Oncologic Diseases,505(b)(2),2020
CRL_152,Clinical,NDA,Oncologic Diseases,505(b)(2),2020
CRL_153,CMC,NDA,Neuroscience,505(b)(2),2022
CRL_153,Clinical,NDA,Neuroscience,505(b)(2),2022
CRL_154,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_154,Clinical,NDA,Neuroscience,505(b)(2),2020
CRL_155,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_155,Clinical,NDA,Neuroscience,505(b)(2),2020
CRL_156,CMC,NDA,Neuroscience,505(b)(2),2019
CRL_156,Clinical,NDA,Neuroscience,505(b)(2),2019
CRL_156,Nonclinical,NDA,Neuroscience,505(b)(2),2019
CRL_157,CMC,NDA,Infectious Diseases,505(b),2019
CRL_158,CMC,NDA,Infectious Diseases,505(b),2019
CRL_159,CMC,NDA,Hematology & Oncology Products,505(b),2013
CRL_159,Clinical,NDA,Hematology & Oncology Products,505(b),2013
CRL_160,CMC,NDA,Immunology and Inflammation,505(b),2022
CRL_161,CMC,NDA,Immunology and Inflammation,505(b),2021
CRL_162,CMC,NDA,Immunology and Inflammation,505(b),2020
CRL_162,Clinical,NDA,Immunology and Inflammation,505(b),2020
CRL_163,CMC,NDA,Oncologic Diseases,505(b)(2),2021
CRL_163,Clinical,NDA,Oncologic Diseases,505(b)(2),2021
CRL_164,CMC,NDA,Oncologic Diseases,505(b)(2),2020
CRL_165,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_166,CMC,NDA,Drug Evaluation 2,505(b)(2),2020
CRL_167,CMC,NDA,Drug Evaluation 1,505(b)(2),2020
CRL_168,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_168,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_169,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_170,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_170,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_171,CMC,NDA,Immunology and Inflammation,505(b)(2),2020
CRL_172,Clinical,NDA,Neuroscience,505(b)(2),2022
CRL_172,Regulatory,NDA,Neuroscience,505(b)(2),2022
CRL_173,CMC,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_173,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_173,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_174,CMC,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_174,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_175,CMC,NDA,Specialty Medicine,505(b)(2),2020
CRL_176,Clinical,NDA,Drug Evaluation 1,505(b),2019
CRL_177,CMC,NDA,New Drugs,505(b)(2),2019
CRL_178,Clinical,NDA,New Drugs,505(b)(2),2019
CRL_179,CMC,NDA,Drug Evaluation 2,505(b),2018
CRL_180,CMC,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_180,Clinical,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_181,CMC,NDA,Neuroscience,505(b)(2),2019
CRL_181,Patent Certifications,NDA,Neuroscience,505(b)(2),2019
CRL_181,Regulatory,NDA,Neuroscience,505(b)(2),2019
CRL_182,CMC,NDA,Oncologic Diseases,505(b)(2),2022
CRL_183,CMC,NDA,Oncologic Diseases,505(b)(2),2020
CRL_184,CMC,NDA,Oncologic Diseases,505(b)(2),2020
CRL_185,CMC,NDA,Oncologic Diseases,505(b)(2),2019
CRL_186,CMC,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_187,CMC,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_188,CMC,NDA,New Drugs,505(b)(2),2018
CRL_189,CMC,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_189,Regulatory,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_190,CMC,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_190,Regulatory,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_191,CMC,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_191,Nonclinical,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_192,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_192,Clinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_192,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_192,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_193,CMC,NDA,Antimicrobial Products,505(b)(2),2018
CRL_194,CMC,NDA,Antimicrobial Products,505(b)(2),2018
CRL_195,CMC,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_195,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_196,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_196,Clinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_196,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2018
