event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_311,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_311,Patent Certifications,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_312,CMC,NDA,Drug Evaluation 2,505(b)(2),2015
CRL_312,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2015
CRL_313,CMC,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_313,Clinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_313,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_314,CMC,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_314,Clinical,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_314,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_314,Patent Certifications,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_314,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_315,CMC,NDA,Drug Evaluation 1,505(b)(2),2015
CRL_315,Clinical,NDA,Drug Evaluation 1,505(b)(2),2015
CRL_315,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2015
CRL_316,CMC,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_317,CMC,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_317,Nonclinical,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_318,CMC,NDA,Drug Evaluation 1,505(b)(2),2017
CRL_318,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2017
CRL_319,CMC,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_319,Clinical,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_320,Clinical,NDA,Drug Evaluation 1,505(b),2017
CRL_321,CMC,NDA,Drug Evaluation 1,505(b),2016
CRL_321,Regulatory,NDA,Drug Evaluation 1,505(b),2016
CRL_322,CMC,NDA,Drug Evaluation 4,505(b)(2),2017
CRL_322,Nonclinical,NDA,Drug Evaluation 4,505(b)(2),2017
CRL_323,CMC,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_323,Clinical,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_323,Nonclinical,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_323,Regulatory,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_324,CMC,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_324,Regulatory,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_325,CMC,NDA,Hematology & Oncology Products,505(b)(2),2015
CRL_325,Clinical,NDA,Hematology & Oncology Products,505(b)(2),2015
CRL_326,CMC,NDA,Drug Evaluation 3,505(b)(2),2016
CRL_326,Clinical,NDA,Drug Evaluation 3,505(b)(2),2016
CRL_326,Nonclinical,NDA,Drug Evaluation 3,505(b)(2),2016
CRL_327,CMC,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_328,CMC,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_329,Clinical,NDA,Drug Evaluation 3,505(b)(2),2017
CRL_330,CMC,NDA,Hematology & Oncology Products,505(b)(2),2019
CRL_331,CMC,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_332,CMC,NDA,Antimicrobial Products,505(b)(2),2017
CRL_333,CMC,NDA,Antimicrobial Products,505(b)(2),2016
CRL_334,CMC,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_334,Clinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_335,Clinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_336,CMC,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_337,CMC,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_338,Clinical,NDA,Drug Evaluation 1,505(b)(2),2017
CRL_339,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2021
CRL_340,Clinical,NDA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",505(b)(2),2021
CRL_341,Clinical,NDA,Infectious Diseases,505(b)(2),2021
CRL_341,Regulatory,NDA,Infectious Diseases,505(b)(2),2021
CRL_342,Clinical,NDA,Immunology and Inflammation,505(b)(2),2021
CRL_343,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2020
CRL_344,CMC,NDA,Neuroscience,505(b)(2),2021
CRL_345,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2021
CRL_346,CMC,NDA,Specialty Medicine,505(b)(2),2021
CRL_347,Clinical,NDA,Infectious Diseases,505(b),2020
CRL_348,Regulatory,NDA,Infectious Diseases,505(b),2020
CRL_349,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2021
CRL_350,CMC,NDA,Infectious Diseases,505(b),2022
CRL_351,CMC,NDA,Infectious Diseases,505(b),2021
CRL_352,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2021
CRL_353,CMC,NDA,Immunology and Inflammation,505(b)(2),2021
CRL_354,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2021
CRL_355,CMC,NDA,Immunology and Inflammation,505(b)(2),2023
CRL_355,Clinical,NDA,Immunology and Inflammation,505(b)(2),2023
CRL_356,Clinical,NDA,Oncologic Diseases,505(b),2021
CRL_356,Statistics,NDA,Oncologic Diseases,505(b),2021
CRL_357,CMC,NDA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",505(b)(2),2022
CRL_358,Clinical,NDA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",505(b),2021
CRL_359,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2022
CRL_360,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2021
CRL_361,CMC,NDA,Oncologic Diseases,505(b)(2),2021
CRL_362,Clinical,NDA,Immunology and Inflammation,505(b)(2),2023
CRL_362,Regulatory,NDA,Immunology and Inflammation,505(b)(2),2023
CRL_363,Clinical,NDA,Immunology and Inflammation,505(b),2022
CRL_364,CMC,NDA,Specialty Medicine,505(b),2021
CRL_364,Clinical,NDA,Specialty Medicine,505(b),2021
CRL_365,CMC,NDA,Immunology and Inflammation,505(b),2023
CRL_366,CMC,NDA,Oncologic Diseases,505(b)(2),2022
CRL_367,CMC,NDA,Oncologic Diseases,505(b)(2),2021
CRL_367,Regulatory,NDA,Oncologic Diseases,505(b)(2),2021
CRL_368,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2022
CRL_369,CMC,NDA,Infectious Diseases,505(b)(2),2021
CRL_369,Nonclinical,NDA,Infectious Diseases,505(b)(2),2021
CRL_370,Clinical,NDA,Not Available,Not Available,2026
CRL_371,CMC,NDA,Not Available,Not Available,2025
CRL_371,Nonclinical,NDA,Not Available,Not Available,2025
CRL_372,CMC,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_372,Clinical,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_373,CMC,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_373,Patent Certifications,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_373,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_374,CMC,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_374,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_375,CMC,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_375,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2019
CRL_376,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_376,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_377,CMC,NDA,Drug Evaluation 4,505(b)(2),2014
CRL_377,Clinical,NDA,Drug Evaluation 4,505(b)(2),2014
CRL_377,Nonclinical,NDA,Drug Evaluation 4,505(b)(2),2014
CRL_378,Clinical,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_379,Clinical,NDA,Drug Evaluation 3,505(b)(2),2014
CRL_380,CMC,NDA,Antimicrobial Products,505(b)(2),2015
CRL_381,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_382,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_383,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2016
CRL_384,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2015
CRL_385,CMC,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_386,CMC,NDA,Hematology & Oncology Products,505(b)(2),2016
CRL_386,Regulatory,NDA,Hematology & Oncology Products,505(b)(2),2016
CRL_387,CMC,NDA,Antimicrobial Products,505(b)(2),2016
CRL_388,CMC,NDA,Antimicrobial Products,505(b)(2),2014
CRL_389,Clinical,BLA,Not Available,Not Available,2025
CRL_390,CMC,BLA,Not Available,Not Available,2025
CRL_391,Clinical,BLA,Not Available,Not Available,2025
CRL_392,CMC,BLA,Not Available,Not Available,2025
CRL_393,Clinical,BLA,Not Available,351(a),2025
CRL_394,Statistics,BLA,Not Available,Not Available,2025
CRL_395,Clinical,BLA,Not Available,Not Available,2025
CRL_396,CMC,BLA,Not Available,Not Available,2025
CRL_397,CMC,BLA,Not Available,Not Available,2025
CRL_398,CMC,BLA,Not Available,Not Available,2025
CRL_399,CMC,NDA,Not Available,Not Available,2025
CRL_400,CMC,NDA,Not Available,Not Available,2025
CRL_400,Clinical,NDA,Not Available,Not Available,2025
CRL_401,CMC,NDA,Not Available,Not Available,2025
